18-11-2018,17.9,27.9
19-11-2018,14.7,27.2
20-11-2018,14.9,25.1
21-11-2018,17.3,28.5
22-11-2018,18.1,29.9
23-11-2018,16.7,28.1
24-11-2018,17.1,23.8
25-11-2018,10.0,14.0
26-11-2018,39.7,44.3
27-11-2018,18.4,23.6
28-11-2018,22.3,26.2
29-11-2018,32.3,36.1
30-11-2018,12.2,15.6
01-12-2018,10.3,13.2
02-12-2018,12.4,15.7
03-12-2018,14.2,16.5
04-12-2018,18.2,23.5
05-12-2018,23.5,35.2
06-12-2018,24.3,25.2
07-12-2018,26.0,32.5
08-12-2018,29.33,37.2
09-12-2018,30.2,35.4
10-12-2018,27.9,33.6
11-12-2018,29.8,36.5
12-12-2018,30.3,36.5
13-12-2018,29.6,35.2
14-12-2018,28.0,35.0
